,TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_NATURAL_INC_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Unemployment_rate_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Population Aged 60+,STATE_FIPS,CNTY_FIPS,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_prevalence,Heart disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
25,81887,9635,10359,11143,11007,11003,11202,9251,5758,2529,61800,17570,425,581,95,1416,471,5021,1.0,4.8,7594,18304,16197,13664,8559,11.2,16.3,15.8,60367,37215,3.4,42.50261903,8.962909414,1.692063273,38.2808374,31.29479399,106.248171,5,15929,1,51,52.0,33116,35.4,22541,7.5,4793,8.5,5393,12.7,8072,3.0,1892,3
26,36748,4526,4427,4757,4606,4695,4863,4319,3054,1501,22792,11639,1423,112,23,759,-251,2685,-1.4,-5.5,4792,11546,6340,3287,8022,23.6,32.8,31.5,38418,14352,4.6,19.07367768,4.022237903,0.75933837,17.17909086,14.04400075,47.6804351,14,8677,1,53,53.8,15357,37.7,10755,10.2,2914,11.5,3270,17.3,4944,4.0,1148,6
27,102501,11836,12443,12828,11852,13307,13726,13446,8812,4251,82796,16094,624,852,318,1817,-436,2086,-2.9,-1.3,11147,23665,24416,12767,17509,17.5,28.8,25.1,44903,43096,4.1,53.20210722,11.21920669,2.118018458,47.91754631,39.17285624,132.9947828,56,25122,1,55,54.2,43607,37.0,29786,9.5,7643,10.6,8502,15.2,12221,3.6,2878,4
28,16433,1878,1943,1966,1777,1994,2235,2258,1595,787,14076,1970,77,72,0,238,-41,291,-3.5,1.2,2060,4868,3273,1516,3801,23.5,37.4,39.1,39254,6482,4.1,8.529382424,1.798667559,0.339561539,7.682159574,6.280207477,21.32177506,12,4604,1,57,49.9,6463,34.8,4510,10.5,1356,11.7,1522,15.5,2009,3.9,504,6
29,31363,4182,4215,3921,3654,4141,4041,3554,2389,1266,28738,1427,485,107,78,528,-227,272,2.0,-9.2,4835,7666,5632,2679,5939,19.2,30.1,28.8,39388,14203,3.7,16.2786479,3.432824843,0.648065998,14.66169115,11.98601272,40.69341151,7,7054,1,59,51.7,12243,36.0,8520,9.7,2285,11.1,2634,14.8,3496,3.6,862,6
30,26314,2981,3336,2859,2953,3249,3627,3643,2414,1252,22951,2491,270,90,19,493,-96,229,-3.2,-0.4,3891,6924,5720,2063,5537,21.3,29.5,26.8,37823,10851,3.9,13.65801552,2.880188532,0.543736527,12.30136597,10.05643398,34.14234705,6,6716,1,61,56.1,11517,43.0,8835,11.0,2268,12.4,2553,16.7,3429,4.0,829,4
31,8233,993,998,996,866,798,1098,1287,750,447,1519,6597,27,22,0,68,-85,45,0.1,-10.3,1406,2149,1689,589,2459,30.1,44.0,42.5,28524,2838,6.7,4.27325537,0.90113978,0.170121716,3.848793268,3.146409551,10.68229624,0,2352,1,63,62.4,3996,45.6,2922,12.5,802,13.4,859,25.6,1641,5.8,369,6
32,14726,1888,1866,1884,1623,1601,2022,1936,1201,705,5988,8561,37,42,2,96,-83,221,-1.4,-4.1,1647,4292,2711,1421,3705,25.6,35.6,34.0,34724,5991,5.1,7.643381341,1.611828545,0.304289127,6.884164905,5.62784247,19.10694697,0,3945,1,65,57.9,6560,45.6,5167,10.5,1187,11.4,1292,20.0,2265,4.6,516,4
33,17209,1841,2050,1812,1914,2157,2247,2568,1734,886,12280,4523,85,64,4,253,69,199,-2.1,6.2,2412,4081,3487,2187,3037,17.9,27.2,24.4,46027,6766,4.4,8.932157375,1.883604334,0.355596332,8.044926922,6.576771768,22.32863306,0,4834,1,67,52.3,7147,36.0,4918,10.1,1380,11.0,1501,16.6,2272,4.0,547,4
34,104722,12878,13493,12814,13302,12976,13919,12637,8358,4345,72324,28491,566,1110,99,2132,349,1416,0.9,2.5,10261,22680,23681,15076,17032,16.5,21.9,21.7,47993,45150,4.0,54.3548948,11.46230537,2.163911854,48.9558276,40.02165687,135.8765246,66,23474,1,69,52.0,41884,34.9,28130,9.1,7367,9.9,8006,16.1,12957,3.6,2878,4
35,51736,5632,6258,5964,5636,6726,7205,7208,4858,2249,47215,1855,870,303,57,1436,-171,597,-2.1,-1.1,6526,15181,10238,5280,10046,19.7,26.8,22.9,41929,23241,4.1,26.85304747,5.662743554,1.069041307,24.18573649,19.77197189,67.1273264,10,13441,1,71,52.2,21354,36.9,15103,10.8,4415,12.2,4978,15.4,6307,3.9,1582,5
36,659300,83866,82823,91855,89590,80221,83769,78622,43004,25550,350457,286501,1892,11676,376,8398,-246,16694,1.7,-2.0,46025,120037,137208,145462,103604,16.1,22.6,21.1,55013,314014,3.7,342.2029959,72.16342248,13.62337508,308.2120007,251.9649966,855.4400474,471,138161,1,73,45.9,233701,34.5,175684,7.6,38899,8.1,41253,13.5,68819,3.4,17072,1
37,13844,1498,1745,1463,1471,1763,1903,1851,1398,752,12084,1466,40,14,2,238,-58,217,-4.3,0.2,1741,3950,2967,1235,2374,17.4,25.3,23.1,40936,5721,3.8,7.185588163,1.515289581,0.286064014,6.471844286,5.290768107,17.96255425,0,3811,1,75,54.4,5923,36.3,3951,11.1,1213,12.4,1345,16.8,1823,4.1,442,6
38,92387,9570,11341,13573,10214,10553,12179,12140,8410,4407,80358,9298,417,708,52,1554,-204,2086,-2.7,0.5,7979,22812,17453,15185,12645,14.0,17.9,16.0,48707,42141,4.2,47.95253782,10.11218279,1.9090289,43.18941621,35.30758402,119.8718939,48,23452,1,77,46.7,34665,34.4,25531,8.6,6397,9.4,6987,13.2,9794,3.3,2469,4
39,32957,3767,4018,3916,3646,4145,5014,4261,2930,1260,25772,3606,1913,77,7,1582,-120,229,-1.6,-1.9,4919,9710,6028,2738,6297,19.3,31.4,33.2,43909,13919,4.2,17.10599748,3.607295487,0.681003447,15.40686016,12.59519247,42.76162239,6,7710,1,79,46.3,11977,36.0,9303,9.8,2523,11.4,2956,15.3,3964,3.7,958,4
40,163941,19180,23398,34582,20928,19365,18752,15105,8719,3912,115690,37852,611,6876,148,2764,2300,4958,4.6,9.5,9049,22855,30707,32377,30075,19.0,19.3,19.2,48937,74654,3.6,85.09191773,17.94409775,3.387577332,76.63974458,62.65341045,212.7130241,28,24513,1,81,42.7,55106,32.1,41424,6.3,8188,7.2,9275,11.2,14475,2.8,3551,4
41,96174,11361,12395,11370,13004,13397,14143,10741,6670,3093,78056,13320,795,1535,185,2283,2098,2696,1.6,20.4,10123,19463,18341,16367,10633,11.4,15.8,15.8,64863,42393,3.5,49.91814187,10.52668739,1.98728117,44.95977697,36.75486362,124.7855166,10,18399,1,83,49.1,36584,33.4,24876,7.8,5840,8.9,6606,13.1,9737,3.1,2298,3
42,9974,1276,1164,1286,1094,1083,1459,1311,866,435,2585,7236,37,44,4,68,-130,96,-1.9,-11.2,1588,2722,1750,996,2474,25.1,39.6,40.1,33973,3625,7.3,5.176903809,1.091700252,0.206096683,4.662682383,3.811768355,12.94123924,0,2481,1,85,61.7,4764,45.8,3535,11.0,849,12.1,932,22.3,1719,5.0,385,3
43,18439,1694,2507,3437,1671,1781,2355,2541,1615,838,3128,14886,49,112,3,261,-372,1723,-3.8,-16.2,2215,3658,3752,2510,5031,30.2,39.7,39.0,32495,7816,5.5,9.570576433,2.018233501,0.381012306,8.619931868,7.046841457,23.92455488,0,4854,1,87,57.9,8870,46.0,7048,9.3,1425,9.7,1489,19.8,3037,4.6,697,6
44,366519,43078,46922,50959,48362,44447,54475,40881,24151,13244,252338,91273,2968,9815,422,9703,4854,8320,2.6,10.7,21617,50768,69750,101650,42667,11.9,16.9,15.2,63755,179752,3.5,190.2379795,40.11719315,7.573526183,171.3416567,140.0727417,475.557456,100,70040,1,89,44.6,127744,33.1,94849,7.1,20256,7.1,20400,12.2,34952,3.0,8511,3
45,19066,2364,2380,2332,2075,2260,2571,2475,1643,966,8939,9795,46,58,35,193,-300,254,-2.4,-13.2,2192,5378,3869,2084,4499,24.0,34.5,33.1,37733,7589,5.0,9.896014441,2.08686154,0.393968253,8.913044145,7.286462347,24.73808576,5,5124,1,91,57.3,8435,44.6,6570,10.2,1508,11.1,1629,19.0,2804,4.4,645,6
46,29763,3232,3582,3376,3273,3708,4275,3834,2907,1576,27986,1154,126,97,19,381,-8,750,-3.9,3.8,4343,7435,6770,2806,5844,20.2,27.4,25.9,37887,12549,4.1,15.44818409,3.257697472,0.615004569,13.91371724,11.37453996,38.61741564,4,8196,1,93,52.1,12285,35.0,8253,10.6,2495,12.0,2823,15.1,3558,3.8,902,6
47,96109,13202,12925,11760,11415,11750,12618,11151,7625,3663,89384,2906,1078,705,261,1775,500,1046,2.4,2.8,12151,19818,19442,12233,17341,18.3,27.9,26.9,46233,42598,3.4,49.88440427,10.51957284,1.98593805,44.92939053,36.73002254,124.7011793,20,21466,1,95,54.1,39015,38.9,28075,9.7,7011,11.1,7986,14.5,10471,3.6,2569,5
48,413757,53407,53561,57388,53044,48602,53867,49214,29685,14989,244947,149329,3885,8548,179,6869,-758,7277,2.0,-3.8,38247,92986,82763,63703,84539,20.8,31.4,30.4,43598,187406,4.7,214.7563856,45.28760988,8.549623548,193.4246516,158.1257108,536.848639,157,88103,1,97,48.9,155134,36.9,116990,8.8,28026,9.1,28849,14.4,45540,3.5,11166,3
49,21067,2298,2776,2494,2141,2506,3019,2889,1893,1051,11612,8686,283,99,9,378,-235,230,-3.7,-7.4,2409,6805,3464,2078,4560,21.9,31.6,30.1,39556,7158,6.2,10.93461325,2.305880208,0.435315703,9.848479021,8.051185475,27.3343781,8,5536,1,99,56.8,9388,42.1,6957,11.1,1838,12.2,2012,19.6,3235,4.5,750,6
50,225763,29734,29321,33292,30303,26985,28056,25618,14341,8113,81145,133229,760,7203,215,3211,-1316,9120,3.8,-9.6,21646,38289,41976,48131,43567,20.1,31.3,31.9,49640,105579,4.0,117.1800015,24.71080047,4.665029621,105.5405216,86.27995379,292.9269095,88,44214,1,101,51.7,89485,36.6,63314,8.1,13991,8.4,14595,15.9,27581,3.6,6253,3
51,119089,14531,15278,14369,14299,15005,16956,14526,9376,4749,98591,15539,1311,836,182,2630,278,1998,0.6,1.8,13706,24350,26356,17849,15419,13.2,20.1,18.5,52797,56339,3.5,61.81194082,13.03483971,2.460782823,55.67216586,45.51230014,154.51767,34,26739,1,103,49.2,45187,37.4,34378,8.7,8042,9.7,8910,13.7,12583,3.4,3088,4
52,9140,1032,1451,1346,897,960,1046,1131,804,473,2791,6205,24,55,4,61,-179,783,-2.6,-16.9,1275,2293,1334,913,2943,35.3,52.8,49.7,26814,3397,6.5,4.744024546,1.000415109,0.188863413,4.27280098,3.493038176,11.8591264,0,2278,1,105,61.6,4435,44.1,3174,11.7,845,12.9,926,22.7,1632,5.3,378,6
53,19938,2107,2261,2602,2524,2371,2923,2568,1671,911,11530,8019,48,67,67,207,-244,1776,-0.3,-12.0,2829,5352,4425,1959,4177,23.1,30.8,29.9,37586,7805,4.6,10.34861722,2.182305957,0.411986732,9.320689928,7.619715005,25.86950351,4,4974,1,107,56.0,8970,41.9,6711,10.1,1612,11.1,1784,18.0,2883,4.2,669,4
54,33338,3580,4654,8134,3336,3278,3521,3350,2279,1206,19163,12562,236,710,30,637,-97,2241,0.0,-2.9,3660,6405,4657,4536,7315,23.6,30.6,29.5,37259,15230,4.5,17.30375167,3.648997692,0.6888762,15.58497145,12.74079942,43.25596891,9,6441,1,109,51.0,13764,37.6,10156,7.6,2064,8.6,2336,13.4,3626,3.3,887,5
55,22725,2630,2864,2655,2317,2672,3279,3126,2109,1073,17689,4428,107,89,26,386,42,400,-2.8,4.7,3340,5719,4329,2350,4375,19.7,31.4,28.7,40546,9538,4.0,11.79518138,2.487355947,0.469575609,10.62356699,8.684824129,29.48562881,0,6129,1,111,54.8,9782,36.1,6444,10.1,1796,11.3,2013,16.1,2880,3.8,682,6
56,57781,7989,7264,8263,7802,7032,7630,6332,3656,1813,28865,26397,359,507,162,1491,753,574,1.8,11.3,6495,12583,13434,6438,12384,21.7,31.6,32.6,39104,23753,4.0,29.99064357,6.324396654,1.193951518,27.01167543,22.08219243,74.97069829,8,10680,1,113,51.1,22378,38.3,16780,8.2,3613,9.4,4127,15.6,6821,3.6,1584,3
57,88690,10885,10996,10434,11652,11848,12364,10710,6812,2989,77839,8384,319,790,67,1291,714,1562,0.7,7.4,9255,21865,19587,9991,10432,12.0,15.0,14.0,57284,39683,3.5,46.03364737,9.707529106,1.832636336,41.46112899,33.89469976,115.075046,6,18943,1,115,53.1,36408,38.0,26054,8.3,5711,9.8,6712,13.0,8914,3.2,2181,2
58,215707,26169,29617,25406,28165,30653,29307,24799,14597,6994,178681,28171,851,4871,125,3008,1978,2512,3.3,6.0,11258,29106,42634,60424,16916,8.0,8.9,8.2,75663,112891,2.9,111.9605364,23.61012494,4.45723854,100.8395056,82.43684745,279.8792755,32,41610,1,117,43.5,71797,32.7,53975,6.6,10912,6.9,11446,10.6,17570,2.7,4464,2
59,12691,1343,1719,2663,1044,1196,1540,1670,880,636,3205,9111,17,256,4,98,-89,939,-1.6,-5.3,1238,2969,1936,1715,4076,34.7,48.1,53.2,27859,4768,5.9,6.587135176,1.389088419,0.262239122,5.932835584,4.850125545,16.46653973,0,3005,1,119,53.4,5496,40.4,4155,9.3,954,9.9,1020,18.9,1946,4.4,456,6
60,79828,8787,10018,10267,9598,10130,11004,10425,6567,3032,51346,26208,326,525,22,1401,-194,2942,-2.9,0.5,10671,19607,17827,8017,14825,19.3,26.4,24.1,41630,34978,4.3,41.43391591,8.737542378,1.649517346,37.31828847,30.50790498,103.5766239,14,18842,1,121,57.4,36113,38.7,24346,9.8,6165,11.1,6955,16.6,10465,3.9,2427,5
61,40497,4573,4627,4809,4119,4642,5793,6048,4039,1847,28523,10994,173,251,24,532,-116,576,-3.6,0.8,5581,9402,8355,5244,7839,19.7,30.7,33.6,42205,17772,4.2,21.01955821,4.432583225,0.836805431,18.93168723,15.47675788,52.54475292,6,11006,1,123,49.5,15892,35.0,11245,10.4,3349,11.6,3725,16.7,5377,4.0,1295,6
62,208911,24770,29202,41424,26670,23895,23262,21875,11646,6167,134982,67003,699,3394,138,2695,1202,10557,3.3,2.5,14748,38097,36040,38669,33330,16.8,20.9,19.9,52557,101569,3.7,108.4331413,22.86627143,4.31681012,97.66248639,79.83961688,271.061483,84,36426,1,125,45.6,75284,34.0,56151,6.5,10770,7.5,12334,12.0,19810,2.8,4691,4
63,63711,7777,7664,7740,7024,7958,8787,8392,5712,2657,57950,3932,355,386,69,1019,-224,851,-4.0,0.5,8606,16685,14479,5204,11231,17.9,24.7,24.0,45434,25132,4.2,33.06855009,6.973462475,1.316485439,29.78385375,24.34846337,82.66485797,12,16386,1,127,53.6,26556,36.6,18142,10.2,5069,11.8,5870,14.9,7386,3.7,1828,2
64,16378,1801,2192,1959,1751,2011,2358,2180,1418,708,10838,3850,1287,148,18,237,-154,147,-1.6,-7.8,2243,4954,2996,1276,2846,17.6,25.8,24.5,44424,6667,5.8,8.500835231,1.792647556,0.338425053,7.656447971,6.259188101,21.25041271,0,4103,1,129,54.3,6941,34.9,4458,10.4,1331,11.8,1506,17.3,2214,4.1,518,6
65,10627,1314,1510,1317,1123,1189,1339,1426,887,522,2915,7575,24,25,2,86,-85,108,-0.4,-7.6,1662,2903,1738,901,3504,33.4,50.6,50.5,25385,2734,9.6,5.515836854,1.16317411,0.219589879,4.967949236,4.061325677,13.78850506,0,2751,1,131,58.9,4769,45.3,3670,11.2,911,12.2,991,21.8,1770,5.0,405,6
66,23660,2523,2802,2549,2489,2953,3545,3220,2417,1162,22757,207,206,87,48,355,-85,301,-4.1,0.6,3755,6420,4683,2326,4338,18.6,27.6,26.2,41156,9781,4.2,12.28048367,2.589696005,0.488895881,11.06066424,9.042153527,30.6987889,4,6575,1,133,52.3,9848,36.1,6797,11.0,2062,12.4,2342,15.7,2947,3.9,731,6
67,5723,364,376,994,968,1112,1100,645,129,35,1910,401,674,2359,135,244,-3,2528,3.5,-4.4,459,1664,1309,675,550,10.0,8.1,7.8,82633,3615,3.5,3.725113162,2.685185738,0.162973701,1.691822228,4.594306233,6.565511948,0,707,2,16,39.3,1996,30.4,1546,5.3,268,5.0,254,11.2,571,2.3,119,6
68,291538,40841,37189,48243,45464,34724,35998,29237,13785,6057,186316,17799,25865,29418,7827,24313,-2726,7605,8.4,-17.8,11867,45753,66655,67719,27075,9.5,12.1,11.0,82113,151950,5.5,189.762719,136.7872933,8.302118958,86.18390156,234.0406868,334.4567923,73,43608,2,20,37.2,81868,27.7,60995,5.1,11289,5.5,12059,8.9,19490,2.4,5309,3
