,TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_NATURAL_INC_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Unemployment_rate_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Population Aged 60+,STATE_FIPS,CNTY_FIPS,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_prevalence,Heart disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
0,55601,6787,7637,6878,7089,7582,7738,5826,4050,2014,42660,10915,267,681,62,1016,158,455,2.2,0.6,4204,12119,10552,10291,7587,13.8,19.3,19.5,59338,25957,3.6,28.85913663,6.085785611,1.148905321,25.99256097,21.24906079,72.14215392,6,10523,1,1,47.6,20181,35.8,15193,7.9,3345,8.6,3644,12.9,5462,3.1,1326,3
1,218022,24757,26913,23579,25213,27338,29986,29932,20936,9368,190301,19492,1684,2508,146,3891,5403,2190,0.1,24.8,14310,40579,46025,46075,21069,9.8,13.9,13.1,57588,93849,3.6,113.1621137,23.86351236,4.505074295,101.9217303,83.32157211,282.882982,51,53519,1,3,40.2,68790,29.7,50761,7.8,13414,8.6,14692,12.0,20520,3.2,5479,4
2,24881,2732,2960,3268,3201,3074,3278,3076,2244,1048,12209,12042,164,113,46,307,-277,2820,-2.5,-8.6,4901,6486,4566,2220,6788,30.9,43.9,36.7,34382,8373,5.2,12.91423137,2.72334008,0.514125884,11.63146184,9.508783681,32.28303325,5,6150,1,5,57.5,11325,40.7,8013,11.0,2159,12.1,2373,19.7,3870,4.5,887,6
3,22400,2456,2596,3029,3113,3038,3115,2545,1723,785,17211,4770,98,53,26,242,-155,2151,-0.3,-6.6,2650,7471,3846,1813,4400,21.8,27.8,26.3,46064,8661,4.0,11.62649342,2.4517832,0.462860006,10.47163479,8.560618723,29.06394215,0,4773,1,7,51.6,9190,38.7,6894,8.6,1533,10.0,1789,14.1,2511,3.3,595,2
4,57840,7095,7570,6742,6884,7474,7844,6965,4931,2335,55456,950,378,185,70,801,13,489,0.3,0.0,7861,13489,13267,5010,7527,13.2,18.0,15.5,50412,25006,3.5,30.02126693,6.330854476,1.195170658,27.03925697,22.10474049,75.04725063,6,13600,1,9,46.3,20584,34.0,15112,9.2,4101,10.5,4661,13.5,6017,3.4,1507,2
5,10138,1198,1130,1395,1446,1274,1356,1219,703,417,2661,7168,85,19,76,129,-38,1661,-0.5,-3.2,1760,2817,1582,945,3610,42.5,68.3,66.5,29267,4776,4.7,5.262026351,1.109650807,0.209485479,4.739349709,3.874444313,13.15402882,0,2371,1,11,60.7,4853,45.8,3664,10.0,804,10.9,873,20.6,1651,4.5,360,6
6,19680,2351,2461,2286,2337,2318,2491,2683,1660,1093,10283,8839,74,259,10,215,-218,333,-0.9,-10.1,2141,6091,3421,2235,4731,24.5,36.3,35.3,37365,8914,4.8,10.21470493,2.154066668,0.406655577,9.200079135,7.521115021,25.53474918,7,5151,1,13,58.1,8891,41.2,6304,10.4,1588,11.4,1741,18.6,2841,4.3,662,6
7,114277,13141,14637,15463,13865,13727,15325,14641,8979,4499,86026,24153,617,1102,126,2253,-387,2739,-1.8,-1.6,12620,25653,26643,14219,21719,19.5,26.5,24.1,45400,45972,4.7,59.3143209,12.50814414,2.361350576,53.42263431,43.6732958,148.2741124,24,27115,1,15,53.6,48041,40.9,36639,9.1,8146,10.2,9158,14.7,13182,3.6,3204,4
8,33615,3869,3812,4380,3734,4078,4761,4492,2972,1517,19182,13446,103,446,15,423,-143,458,-3.1,-1.1,4383,9060,7003,3118,6181,18.7,30.7,30.3,39917,15276,3.9,17.44752572,3.679316619,0.69459996,15.71446444,12.84666064,43.61537569,0,8501,1,17,55.7,14836,39.1,10410,9.8,2618,10.8,2870,17.5,4664,4.0,1068,5
9,26032,2554,2981,2852,2504,3204,3873,3946,2835,1283,24217,1109,172,88,8,438,217,290,-4.7,13.0,3692,7157,5417,2407,4180,16.3,24.7,22.2,42132,11622,3.6,13.51164628,2.849322333,0.53790945,12.16953557,9.948661902,33.77645277,0,7513,1,19,55.9,11769,39.1,8227,10.8,2282,12.1,2540,15.9,3353,3.9,814,6
10,44153,5652,5818,5566,5233,5655,5932,5359,3334,1604,38459,4579,250,215,77,573,36,393,0.5,0.4,5302,13125,7147,4219,7542,17.3,23.3,22.7,47547,19476,3.6,22.91716803,4.832749269,0.912350796,20.64080762,16.87397315,57.28840348,6,9429,1,21,56.2,18925,40.4,13599,9.4,3181,10.9,3672,15.2,5115,3.5,1185,2
11,12841,1324,1489,1402,1289,1478,1947,1824,1371,717,7343,5355,24,23,0,96,-94,129,-3.3,-4.0,1754,3606,2851,1225,2806,22.1,32.1,29.2,39907,4694,5.5,6.664991159,1.40550661,0.265338631,6.002958139,4.907451117,16.66116434,0,3759,1,23,57.2,5876,42.9,4408,11.0,1135,11.8,1212,19.2,1976,4.5,464,6
12,23920,2704,3045,2911,2557,2871,3419,2996,2220,1197,12781,10674,126,104,5,230,-177,280,-1.7,-5.6,3175,7372,4205,2118,5381,22.8,31.7,31.4,40741,7627,7.5,12.41543404,2.618154203,0.494268363,11.18221001,9.141517851,31.03613823,0,6134,1,25,57.4,10741,40.5,7584,10.7,2003,11.5,2161,19.1,3575,4.3,811,6
13,13275,1420,1564,1543,1455,1604,1991,1799,1214,685,11046,1868,72,32,0,257,-92,255,-3.7,-3.2,2275,3366,2700,944,2285,17.6,25.8,25.0,39201,5963,3.9,6.890254469,1.45300991,0.274306544,6.205846063,5.073313105,17.22427822,4,3480,1,27,52.7,5575,35.9,3801,10.6,1117,12.2,1287,16.4,1732,4.0,418,6
14,14987,1829,1905,1687,1665,1930,2113,1851,1358,649,14234,441,74,33,11,194,81,178,-2.1,7.6,2364,4135,2518,1428,2356,16.0,22.9,22.9,46495,5743,4.2,7.778850751,1.640396197,0.309682273,7.00617815,5.727588965,19.4455938,0,3691,1,29,51.5,5959,37.1,4294,9.9,1146,11.5,1332,14.4,1665,3.6,416,6
15,51909,6605,6828,6312,6586,6896,6662,5958,3963,2099,39368,9192,732,849,206,1562,132,518,2.1,0.4,4833,9723,12181,8175,7053,13.8,21.9,20.1,55122,20817,3.9,26.94284137,5.681679201,1.072616074,24.26661117,19.83808738,67.35179345,7,11027,1,31,51.9,20571,36.0,14266,8.2,3258,9.0,3564,14.1,5596,3.3,1302,5
16,54762,6248,6318,6811,6424,6666,7508,7290,4847,2650,44138,8875,363,323,41,1022,253,474,-1.4,6.0,6016,13927,11459,7236,7459,13.8,21.0,19.3,49055,23258,4.6,28.42366216,5.993953196,1.131568734,25.60034215,20.92841976,71.05355358,22,14062,1,33,54.4,23618,38.0,16489,9.4,4065,10.3,4484,14.8,6429,3.6,1542,4
17,12277,1367,1434,1410,1260,1335,1754,1726,1308,683,6339,5680,63,26,4,165,-158,45,-4.6,-8.2,1703,4315,1881,949,2979,24.4,40.1,38.9,32613,4494,5.2,6.372252664,1.343774212,0.253684477,5.739297334,4.691906967,15.9293758,0,3542,1,35,59.3,5764,43.2,4202,11.7,1139,12.7,1239,20.5,1994,4.8,464,6
18,10715,928,1023,1165,1028,1379,1750,1746,1137,559,7167,3309,64,15,18,142,-42,248,-3.0,-0.8,1675,3178,2424,953,1973,18.9,30.1,30.5,42423,4376,4.2,5.561512364,1.172806115,0.221408257,5.009087801,4.09495668,13.90268483,0,3145,1,37,57.2,5115,41.0,3665,11.2,997,12.0,1075,18.6,1662,4.3,385,5
19,36986,4438,4397,4187,4094,4178,5141,5037,3508,2006,31269,4664,256,172,4,621,-92,575,-3.0,0.6,4530,9368,8588,3952,7239,19.9,29.5,30.2,40203,15617,4.6,19.19720917,4.048288099,0.764256258,17.29035198,14.13495733,47.98923949,13,10290,1,39,51.7,14939,37.6,10865,10.3,2983,11.1,3202,15.8,4557,3.8,1096,6
20,13824,1682,1764,1649,1557,1648,1913,1828,1181,602,10062,3244,87,155,6,270,-37,132,-2.9,0.2,2091,3753,2326,1505,2661,19.5,30.8,29.3,39057,6298,4.1,7.175207365,1.513100489,0.285650747,6.462494612,5.283124698,17.9366043,0,3371,1,41,52.7,5616,36.6,3903,9.8,1050,11.1,1184,16.4,1745,3.9,411,6
21,83442,10276,10256,10389,9926,10335,11234,10452,7221,3353,79985,1116,539,561,72,1169,606,1049,-0.7,8.1,10405,20382,18559,7866,11925,14.5,19.7,19.8,45796,37830,3.3,43.30972605,9.133111328,1.724194849,39.00777455,31.88906909,108.2657795,12,19667,1,43,48.6,31416,33.4,21605,9.2,5947,10.8,7008,13.7,8840,3.4,2195,5
22,48956,6386,5918,7013,6312,5688,6222,5750,3752,1915,36119,10262,392,695,104,1384,-298,922,2.0,-8.1,4732,10924,12036,5690,7743,16.2,24.4,24.4,45309,20120,4.2,25.41011659,5.358459747,1.011597074,22.88613181,18.70953796,63.52028358,6,10498,1,45,53.7,20251,43.4,16366,8.6,3257,9.6,3609,14.4,5427,3.4,1294,5
23,38310,4767,5345,4753,4298,4154,5259,5112,3059,1563,10630,26994,111,223,17,335,-925,852,-1.9,-22.0,5135,9368,8076,4021,11841,31.4,48.0,45.3,34035,14860,6.5,19.88441798,4.193205999,0.79161459,17.90930039,14.64095104,49.70712607,18,9436,1,47,58.8,17157,42.2,12318,10.6,3103,11.4,3327,21.1,6160,4.8,1392,5
24,71385,8929,10009,8600,8219,9344,9397,8595,5624,2668,66184,1325,1449,368,457,1602,-19,782,0.1,-0.4,12394,15956,13441,6085,14975,21.3,29.6,29.6,39491,30129,3.8,37.05166217,7.81341713,1.475056318,33.37132363,27.28123962,92.62185315,12,15782,1,49,52.3,28324,35.4,19186,10.5,5694,12.5,6766,15.6,8479,3.8,2082,6
